iter	Passed	Remaining
0	145	145086
1	164	82100
2	167	55522
3	168	42063
4	171	34068
5	173	28694
6	175	24879
7	177	22046
8	179	19790
9	181	17983
10	183	16514
11	185	15292
12	188	14277
13	191	13505
14	199	13118
15	201	12402
16	204	11847
17	207	11305
18	209	10802
19	211	10348
20	213	9936
21	215	9567
22	217	9228
23	220	8949
24	222	8672
25	224	8406
26	226	8156
27	243	8463
28	246	8267
29	249	8052
30	251	7855
31	253	7663
32	255	7489
33	261	7434
34	264	7288
35	266	7135
36	268	6988
37	270	6849
38	281	6939
39	283	6809
40	285	6687
41	288	6571
42	290	6466
43	294	6409
44	313	6644
45	317	6585
46	328	6669
47	332	6597
48	339	6582
49	341	6488
50	343	6391
51	345	6296
52	347	6204
53	349	6127
54	354	6083
55	356	6016
56	358	5937
57	361	5864
58	362	5786
59	364	5709
60	370	5708
61	373	5645
62	374	5576
63	376	5506
64	378	5443
65	379	5377
66	383	5340
67	386	5297
68	388	5245
69	390	5186
70	392	5130
71	393	5075
72	398	5065
73	401	5018
74	402	4965
75	404	4915
76	405	4864
77	407	4813
78	408	4763
79	409	4714
80	413	4692
81	415	4653
82	416	4600
83	417	4556
84	419	4514
85	420	4473
86	422	4433
87	424	4395
88	429	4398
89	432	4372
90	434	4338
91	436	4308
92	438	4276
93	440	4242
94	443	4223
95	446	4200
96	447	4168
97	449	4134
98	450	4099
99	451	4066
100	453	4033
101	454	4001
102	459	4003
103	461	3978
104	463	3949
105	464	3919
106	466	3889
107	467	3860
108	468	3831
109	470	3802
110	472	3780
111	474	3763
112	476	3736
113	477	3709
114	478	3683
115	479	3657
116	480	3629
117	482	3604
118	483	3577
119	484	3553
120	486	3531
121	487	3507
122	489	3488
123	490	3466
124	491	3443
125	492	3419
126	493	3395
127	495	3372
128	496	3354
129	498	3336
130	501	3325
131	503	3313
132	505	3294
133	506	3273
134	507	3254
135	509	3238
136	511	3220
137	514	3216
138	517	3204
139	518	3186
140	520	3167
141	520	3147
142	522	3132
143	524	3118
144	525	3101
145	527	3084
146	529	3075
147	531	3060
148	533	3044
149	534	3028
150	535	3012
151	537	2997
152	538	2981
153	539	2966
154	541	2951
155	546	2954
156	548	2944
157	550	2933
158	552	2920
159	553	2906
160	554	2889
161	555	2875
162	557	2861
163	559	2850
164	560	2838
165	563	2830
166	564	2816
167	566	2804
168	567	2790
169	568	2777
170	570	2764
171	571	2753
172	576	2758
173	578	2745
174	579	2733
175	581	2721
176	582	2709
177	584	2697
178	585	2685
179	586	2673
180	588	2663
181	591	2660
182	593	2649
183	594	2638
184	596	2626
185	597	2614
186	598	2603
187	600	2592
188	601	2581
189	602	2570
190	607	2574
191	609	2566
192	611	2557
193	613	2547
194	614	2536
195	615	2526
196	617	2515
197	618	2504
198	620	2498
199	624	2496
200	625	2487
201	627	2478
202	629	2470
203	630	2461
204	632	2451
205	633	2441
206	639	2450
207	641	2441
208	642	2432
209	644	2423
210	646	2415
211	647	2407
212	649	2398
213	653	2399
214	655	2391
215	656	2383
216	657	2374
217	659	2365
218	660	2356
219	662	2347
220	663	2339
221	669	2345
222	671	2341
223	674	2335
224	675	2327
225	677	2319
226	678	2311
227	680	2305
228	686	2310
229	687	2303
230	689	2295
231	691	2287
232	692	2280
233	694	2273
234	699	2276
235	701	2271
236	703	2264
237	704	2256
238	706	2248
239	707	2241
240	709	2235
241	711	2229
242	713	2222
243	715	2216
244	716	2209
245	719	2204
246	721	2198
247	723	2194
248	725	2186
249	729	2189
250	732	2186
251	734	2178
252	735	2171
253	736	2164
254	738	2156
255	739	2149
256	741	2143
257	743	2138
258	745	2134
259	747	2127
260	748	2119
261	750	2112
262	751	2105
263	752	2098
264	754	2091
265	755	2084
266	761	2090
267	762	2083
268	764	2077
269	765	2070
270	767	2064
271	768	2057
272	769	2050
273	771	2043
274	773	2039
275	775	2034
276	776	2027
277	778	2021
278	779	2015
279	781	2008
280	782	2002
281	783	1995
282	785	1989
283	786	1983
284	790	1983
285	792	1979
286	794	1974
287	796	1968
288	797	1962
289	798	1956
290	800	1949
291	801	1943
292	804	1940
293	806	1937
294	808	1931
295	809	1925
296	811	1920
297	812	1914
298	813	1908
299	815	1902
300	816	1896
301	821	1897
302	822	1892
303	824	1887
304	825	1882
305	827	1877
306	831	1877
307	837	1882
308	839	1877
309	841	1872
310	843	1868
311	844	1862
312	847	1859
313	856	1870
314	858	1866
315	860	1862
316	861	1856
317	863	1851
318	868	1854
319	870	1849
320	871	1844
321	873	1838
322	874	1833
323	876	1828
324	877	1823
325	881	1823
326	883	1818
327	885	1814
328	888	1811
329	890	1807
330	891	1802
331	893	1797
332	895	1793
333	898	1791
334	899	1785
335	901	1780
336	902	1775
337	903	1770
338	905	1765
339	906	1760
340	908	1754
341	912	1754
342	914	1750
343	915	1746
344	917	1742
345	920	1739
346	921	1734
347	923	1729
348	925	1725
349	927	1721
350	930	1720
351	932	1715
352	933	1710
353	934	1705
354	936	1700
355	937	1695
356	938	1690
357	943	1692
358	945	1687
359	947	1683
360	948	1679
361	949	1674
362	951	1669
363	952	1664
364	953	1659
365	955	1655
366	958	1653
367	960	1649
368	962	1645
369	963	1640
370	964	1635
371	966	1630
372	967	1626
373	968	1621
374	971	1618
375	973	1614
376	975	1611
377	976	1607
378	978	1602
379	979	1598
380	980	1593
381	982	1589
382	984	1586
383	987	1583
384	988	1579
385	990	1574
386	991	1570
387	992	1565
388	993	1561
389	995	1556
390	996	1552
391	1002	1555
392	1005	1552
393	1007	1548
394	1008	1544
395	1009	1540
396	1011	1535
397	1012	1531
398	1014	1527
399	1017	1525
400	1019	1523
401	1021	1519
402	1023	1516
403	1025	1512
404	1026	1507
405	1031	1508
406	1033	1505
407	1036	1503
408	1038	1501
409	1042	1500
410	1044	1497
411	1047	1494
412	1049	1492
413	1052	1489
414	1054	1486
415	1065	1495
416	1068	1493
417	1070	1490
418	1074	1490
419	1078	1489
420	1080	1486
421	1082	1483
422	1084	1479
423	1092	1484
